,p-values-paired,p-values_r_fdr,significance:p_vlaue_r,significance:p_vlaue_r_fdr
0,4.0436066512253253e-08,1.4483372361583558e-07,True,True
1,0.2891645967596114,0.3361134712032221,False,False
2,0.0002322367302316609,0.0004579259804533663,True,True
3,3.420577429814986e-12,2.445797810432694e-11,True,True
4,0.06251345969931547,0.08352695616874274,False,False
5,0.08658823731308368,0.11258556371996993,False,False
6,3.041721155197623e-06,8.115171112901767e-06,True,True
7,1.9385746866608284e-05,4.5470302392485824e-05,True,True
8,4.768559345720827e-11,2.758769681759119e-10,True,True
9,1.3766122667116988e-05,3.30934830329037e-05,True,True
10,0.06415312266683633,0.08550614875932394,False,False
11,7.584453673521912e-10,3.591596414750302e-09,True,True
12,0.02130179835131911,0.0308172319335933,True,True
13,4.51183332012357e-13,3.7726002229010005e-12,True,True
14,1.6678484321488395e-09,7.50523329641733e-09,True,True
15,0.6148682201927615,0.657618158979071,False,False
16,0.004337619102628813,0.0070161395129131774,True,True
17,6.001366612356978e-12,4.0752204492321855e-11,True,True
18,0.0005784370532957748,0.0010721566626270935,True,True
19,0.652979252379783,0.6929731284470299,False,False
20,0.00013726998677642208,0.00028119755977264215,True,True
21,0.3726066525613332,0.42172442658697706,False,False
22,0.18811884631854897,0.22816492804556157,False,False
23,1.795963782588147e-18,4.509487550030558e-17,True,True
24,2.7764211853232284e-13,2.4223573725484227e-12,True,True
25,6.667076623632467e-10,3.181595267216875e-09,True,True
26,9.061554520749966e-08,3.0766185995667386e-07,True,True
27,0.6204247342604798,0.6624126875370698,False,False
28,0.01460936770378406,0.02169490476084154,True,True
29,0.26141464389270735,0.30695608844796896,False,False
30,8.117188180763698e-08,2.774523660915965e-07,True,True
31,1.8797654237813683e-15,2.467549217007837e-14,True,True
32,6.137067474564373e-20,2.420498644363003e-18,True,True
33,9.158591946660018e-07,2.656837546239325e-06,True,True
34,0.03756992993083354,0.052222444444411764,True,False
35,0.0286271291816173,0.04057212704999909,True,True
36,0.01658550843819432,0.024413314440167592,True,True
37,5.6978566367483e-05,0.00012399908465586656,True,True
38,1.7526988675838441e-12,1.3152855316034279e-11,True,True
39,0.20218142264702482,0.24357933441853363,False,False
40,0.030776565745962332,0.04338707142659534,True,True
41,6.9973912702117515e-06,1.760558319151005e-05,True,True
42,1.3888458948117415e-08,5.363847285984835e-08,True,True
43,7.791703854012981e-16,1.100586133099544e-14,True,True
44,0.820251989127656,0.8447509903529424,False,False
45,1.6363249931656432e-11,1.0301572251070147e-10,True,True
46,2.9979331839434024e-18,7.263575841882507e-17,True,True
47,4.725503464037005e-12,3.2718666269033777e-11,True,True
48,0.0018738848609945815,0.003209215918873936,True,True
49,0.0001049491941469646,0.00021930535005308015,True,True
50,1.473633555530203e-07,4.826890343531334e-07,True,True
51,0.05495521115243014,0.07418570606425831,False,False
52,3.744689136752798e-13,3.1772841275738992e-12,True,True
53,1.443736653651766e-06,4.058673831055209e-06,True,True
54,0.00291312406835045,0.004839332462809311,True,True
55,2.984349258484701e-08,1.0906417059514112e-07,True,True
56,9.405155883650797e-08,3.1832693552129215e-07,True,True
57,1.5638062769642528e-23,2.1271459397289345e-21,True,True
58,4.5580224432214305e-08,1.619827971747587e-07,True,True
59,1.5180227372069283e-19,5.2238730647907744e-18,True,True
60,0.10588528169158169,0.1354939437942277,False,False
61,5.735071317094556e-06,1.4649320863937374e-05,True,True
62,0.0005094300357369966,0.0009524246609693309,True,True
63,1.6738872544423503e-07,5.424198521945527e-07,True,True
64,7.116258468459774e-05,0.00015284516354922617,True,True
65,0.1686734408756639,0.20649377727496945,False,False
66,0.18803926192886708,0.22809695426315485,False,False
67,0.006865224316998145,0.010751223830672013,True,True
68,1.2574044536538702e-06,3.566775359092054e-06,True,True
69,4.822157568106033e-12,3.333444257264174e-11,True,True
70,5.102627461760153e-12,3.507675662630587e-11,True,True
71,2.973647284772318e-12,2.1466676491617968e-11,True,True
72,0.2521847176278868,0.29712801780260156,False,False
73,6.598000493005052e-19,1.8996743086110376e-17,True,True
74,0.0014131486717412578,0.002470864706916015,True,True
75,0.16076860282902294,0.1978258860226064,False,False
76,0.0018153485695934163,0.0031176206918904726,True,True
77,4.1302911485454276e-21,2.3165837529585153e-19,True,True
78,0.6142862496907955,0.6570770875175537,False,False
79,0.00031297701802725616,0.0006040980990414357,True,True
80,0.0001017302308327972,0.00021286212907419715,True,True
81,0.05891800026196865,0.07913298511316345,False,False
82,2.787028295442308e-05,6.37440934777782e-05,True,True
83,0.5383232060092813,0.5850602946719304,False,False
84,4.763423310183358e-19,1.4138855272064867e-17,True,True
85,4.788815360628295e-14,4.869145694811878e-13,True,True
86,1.41819024942013e-10,7.603735741381982e-10,True,True
87,4.346722863766667e-06,1.1313791995113633e-05,True,True
88,2.2454086744774942e-11,1.3779550568951585e-10,True,True
89,4.898760315260176e-10,2.3905673572350154e-09,True,True
90,0.0011212434463776075,0.001988448879598929,True,True
91,0.0008964065231191022,0.0016132329083115417,True,True
92,0.05571584095201439,0.07513366576345877,False,False
93,2.2416201263902044e-09,9.850676977700931e-09,True,True
94,0.00390897255679718,0.006365714641654532,True,True
95,0.9701850599626564,0.9744155180729587,False,False
96,0.1032630962657624,0.13242298181211828,False,False
97,0.0006522560757200568,0.0012011218109011811,True,True
98,5.1744883278707844e-08,1.8231549227813135e-07,True,True
99,0.009363293466989725,0.014351068640071645,True,True
100,0.014906693500427887,0.022102234161865224,True,True
101,0.977569448123853,0.9805209438738641,False,False
102,0.38373794296883434,0.432961463313083,False,False
103,0.6528732093173562,0.6929031572745179,False,False
104,1.8256143882401844e-14,1.9998407455199231e-13,True,True
105,0.5143155852085448,0.5617958731885938,False,False
106,1.1475214110101266e-15,1.5757895369793273e-14,True,True
107,0.004812938538958726,0.007727943123776443,True,True
108,3.7559077711301007e-08,1.3514540042964484e-07,True,True
109,1.4189227818520351e-06,3.996069621208658e-06,True,True
110,0.003939734019539445,0.006412786694388384,True,True
111,2.4087869073988212e-11,1.4719417695548154e-10,True,True
112,0.00010108732276784383,0.00021169638753964142,True,True
113,0.0044545896463823835,0.007189856688896166,True,True
114,4.248533209525091e-06,1.1078250746346558e-05,True,True
115,0.004742272742422519,0.007627821027730748,True,True
116,7.981702108468481e-20,3.0171532587263244e-18,True,True
117,1.1624902540916061e-07,3.877586240477408e-07,True,True
118,5.1275532125555804e-05,0.00011250918550348996,True,True
119,0.00031876153988170513,0.000614370813506243,True,True
120,0.000293449822843125,0.0005687586322915948,True,True
121,0.9900897987868278,0.991697180613582,False,False
122,1.0102583591032562e-21,7.082365315518586e-20,True,True
123,1.0273667809684476e-21,7.127614916156599e-20,True,True
124,0.0002559066001497183,0.0005008822249701318,True,True
125,2.167710126802548e-10,1.1191629539902576e-09,True,True
126,4.009628352354461e-15,4.976029438715756e-14,True,True
127,0.3218601085903563,0.37032991713723223,False,False
128,0.9936186138081176,0.9945397504800527,False,False
129,2.8976337026407634e-12,2.0944193394610542e-11,True,True
130,6.975438181822349e-05,0.0001500291214911979,True,True
131,0.6068571804612393,0.6502982316523732,False,False
132,0.07235185062369262,0.09551262567050971,False,False
133,3.533176582425795e-24,5.746888422736905e-22,True,True
134,1.1024095535877732e-08,4.313505104921581e-08,True,True
135,1.5991635894349082e-07,5.200593186650611e-07,True,True
136,4.202114406134198e-07,1.2809515857767473e-06,True,True
137,0.7003588430383632,0.736826980114965,False,False
138,4.469315967723355e-05,9.895851492235447e-05,True,True
139,0.18257539458299035,0.2220650525537674,False,False
140,3.839530751326037e-07,1.1770699863204488e-06,True,True
141,2.0685264595853376e-16,3.3333763609455882e-15,True,True
142,5.339613324865685e-09,2.2109736382323755e-08,True,True
143,0.00032863695181498516,0.0006316425614824064,True,True
144,0.0005948222399626386,0.0011008736013878918,True,True
145,0.17966984185228776,0.21882378158476248,False,False
146,0.03778316686643479,0.05249955605667761,True,False
147,1.1719772212556382e-13,1.1142491192730408e-12,True,True
148,0.4388798287087661,0.4877540556448748,False,False
149,0.7122946446919205,0.7476086024091941,False,False
150,0.00019853032025001592,0.00039598329088084803,True,True
151,8.203338089951028e-08,2.802861263922152e-07,True,True
152,0.11787201195750126,0.14940487244594866,False,False
153,0.27197340079505145,0.3180141125446402,False,False
154,2.0011104268800522e-08,7.539578570678495e-08,True,True
155,5.7562417107350924e-11,3.291594688942361e-10,True,True
156,4.8148470308714696e-17,8.8579853523221125e-16,True,True
157,0.03280242255300847,0.04604386524768191,True,True
158,5.985063418320526e-16,8.673823032842877e-15,True,True
159,0.7717543672948314,0.8019282222567345,False,False
160,0.04787370427648214,0.06530466214278498,True,False
161,5.275295301510834e-13,4.358236553495919e-12,True,True
162,6.211193127856653e-05,0.00013462780587669218,True,True
163,8.699467229663229e-15,1.0099683897340879e-13,True,True
164,0.04451209545457715,0.06102749595062065,True,False
165,5.012357615818826e-07,1.5127267262975232e-06,True,True
166,0.00015991750872981701,0.00032310818284299287,True,True
167,0.009337968086166224,0.014316063071398785,True,True
168,0.09765996716775562,0.1257041899130451,False,False
169,0.00017176914944426643,0.0003455988884986842,True,True
170,1.0914085343444835e-06,3.12464077408037e-06,True,True
171,7.511359127000676e-05,0.00016069192435781633,True,True
172,0.00031941995228179334,0.0006155711374016042,True,True
173,0.00024112525564400428,0.0004739916694640616,True,True
174,8.363120897994948e-06,2.0796446453557326e-05,True,True
175,0.00014756504800253755,0.00030025750344450365,True,True
176,0.14693257410018493,0.18241180147902944,False,False
177,3.5552736089923424e-12,2.5359503542743167e-11,True,True
178,3.955690732509632e-21,2.2478472830297334e-19,True,True
179,0.05386440486004946,0.07286098143899103,False,False
180,0.8132070876813597,0.8388143149233671,False,False
181,0.12905917776016415,0.16236962317433806,False,False
182,2.787832620570615e-08,1.0225012424704327e-07,True,True
183,4.289642485984776e-06,1.117363901468441e-05,True,True
184,2.3468194770114727e-08,8.727945417733734e-08,True,True
185,0.002608274399306708,0.004362275171654892,True,True
186,0.6516749011969641,0.6918438986097318,False,False
187,3.279860797798247e-05,7.412296609362209e-05,True,True
188,4.164524442709291e-09,1.7538312956558508e-08,True,True
189,1.6913083941205046e-05,4.000185173662612e-05,True,True
190,0.6556415519086036,0.695371304593635,False,False
191,2.4937980001082466e-16,3.9441467379140536e-15,True,True
192,0.12347873648590703,0.15583687703054092,False,False
193,1.722206617470167e-20,7.97617139860513e-19,True,True
194,5.129065434862473e-05,0.0001125280738979543,True,True
195,0.0057688781763044926,0.00914707393259845,True,True
196,0.142225003199957,0.17703402256020306,False,False
197,0.000606521142831927,0.001121324137673538,True,True
198,0.009252049435356046,0.014195679367241825,True,True
199,5.656234127123086e-06,1.4471481715943618e-05,True,True
200,0.009810923616617432,0.01498927261670347,True,True
201,3.8527437533093726e-13,3.2673612340903e-12,True,True
202,9.698514670456753e-10,4.522046988721738e-09,True,True
203,0.15054908050323965,0.18645937522895506,False,False
204,8.310491821137391e-06,2.0668549699128768e-05,True,True
205,0.018771715644999604,0.027423373172716124,True,True
206,0.13353300435720428,0.16741292185722503,False,False
207,0.040812305188090175,0.0563625835643261,True,False
